Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00    50485     0.00     0.00  SSSPTree::isAffected(int) const
  0.00      0.19     0.00    49149     0.00     0.00  EdgeChange* std::__addressof<EdgeChange>(EdgeChange&)
  0.00      0.19     0.00    40000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::operator[](unsigned long)
  0.00      0.19     0.00    26383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::construct<EdgeChange, EdgeChange>(EdgeChange*, EdgeChange&&)
  0.00      0.19     0.00    26383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::construct<EdgeChange, EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*, EdgeChange&&)
  0.00      0.19     0.00    26383     0.00     0.00  std::remove_reference<EdgeChange&>::type&& std::move<EdgeChange&>(EdgeChange&)
  0.00      0.19     0.00    25000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.19     0.00    20030     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::__normal_iterator(EdgeChange* const&)
  0.00      0.19     0.00    16383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::destroy<EdgeChange>(EdgeChange*)
  0.00      0.19     0.00    16383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::destroy<EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*)
  0.00      0.19     0.00    16383     0.00     0.00  void std::__relocate_object_a<EdgeChange, EdgeChange, std::allocator<EdgeChange> >(EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
  0.00      0.19     0.00    10015     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::end()
  0.00      0.19     0.00    10000     0.00     0.00  EdgeChange::EdgeChange(int, int, double, bool)
  0.00      0.19     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator*() const
  0.00      0.19     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator-(long) const
  0.00      0.19     0.00    10000     0.00     0.00  EdgeChange& std::vector<EdgeChange, std::allocator<EdgeChange> >::emplace_back<EdgeChange>(EdgeChange&&)
  0.00      0.19     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::back()
  0.00      0.19     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::push_back(EdgeChange&&)
  0.00      0.19     0.00     8746     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::operator[](unsigned long) const
  0.00      0.19     0.00     3678     0.00     0.00  SSSPTree::isTreeEdge(int, int) const
  0.00      0.19     0.00      120     0.00     0.00  Edge* std::__niter_base<Edge*>(Edge*)
  0.00      0.19     0.00       90     0.00     0.00  EdgeChange* std::__niter_base<EdgeChange*>(EdgeChange*)
  0.00      0.19     0.00       81     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::size() const
  0.00      0.19     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00      0.19     0.00       62     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::size() const
  0.00      0.19     0.00       60     0.00     0.00  __gnu_cxx::new_allocator<Edge>::_M_max_size() const
  0.00      0.19     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::base() const
  0.00      0.19     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<EdgeChange>::_M_max_size() const
  0.00      0.19     0.00       41     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator()
  0.00      0.19     0.00       40     0.00     0.00  __gnu_cxx::new_allocator<Edge>::max_size() const
  0.00      0.19     0.00       40     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const
  0.00      0.19     0.00       40     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
  0.00      0.19     0.00       40     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::max_size(std::allocator<Edge> const&)
  0.00      0.19     0.00       40     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_max_size(std::allocator<Edge> const&)
  0.00      0.19     0.00       40     0.00     0.02  std::vector<Edge, std::allocator<Edge> >::_S_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.19     0.00       40     0.00     0.02  std::vector<Edge, std::allocator<Edge> >::_S_do_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&, std::integral_constant<bool, true>)
  0.00      0.19     0.00       40     0.00     0.02  Edge* std::__relocate_a<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.19     0.00       40     0.00     0.02  Edge* std::__relocate_a_1<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.19     0.00       35     0.00     0.00  std::_Vector_base<EdgeChange, std::allocator<EdgeChange> >::_M_get_Tp_allocator()
  0.00      0.19     0.00       31     0.00     0.00  std::_Vector_base<EdgeChange, std::allocator<EdgeChange> >::_M_get_Tp_allocator() const
  0.00      0.19     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<EdgeChange>::max_size() const
  0.00      0.19     0.00       30     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::max_size() const
  0.00      0.19     0.00       30     0.00     0.00  std::allocator_traits<std::allocator<EdgeChange> >::max_size(std::allocator<EdgeChange> const&)
  0.00      0.19     0.00       30     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::_S_max_size(std::allocator<EdgeChange> const&)
  0.00      0.19     0.00       30     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::_S_relocate(EdgeChange*, EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
  0.00      0.19     0.00       30     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::_S_do_relocate(EdgeChange*, EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&, std::integral_constant<bool, true>)
  0.00      0.19     0.00       30     0.00     0.00  EdgeChange* std::__relocate_a<EdgeChange*, EdgeChange*, std::allocator<EdgeChange> >(EdgeChange*, EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
