Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     17.84     0.00    16383     0.00     0.00  void std::__relocate_object_a<EdgeChange, EdgeChange, std::allocator<EdgeChange> >(EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
  0.00     17.84     0.00    10020     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     17.84     0.00    10020     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00     17.84     0.00    10015     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::end()
  0.00     17.84     0.00    10000     0.00     0.00  EdgeChange::EdgeChange(int, int, double, bool)
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator<Edge*>(__gnu_cxx::__normal_iterator<Edge*, __gnu_cxx::__enable_if<std::__are_same<Edge*, Edge*>::__value, std::vector<Edge, std::allocator<Edge> > >::__type> const&)
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor const* const&)
  0.00     17.84     0.00    10000     0.00     0.00  bool __gnu_cxx::operator==<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge const*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     17.84     0.00    10000     0.00     0.00  bool __gnu_cxx::operator!=<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator*() const
